410HID,410.000,410.500,1.000,0.009
434HIG,434.000,434.000,1.000,0.000
486HIB,482.500,488.000,1.000,0.253
656HIA,654.000,659.000,1.000,0.127
395CaII,393.000,398.000,2.000,nan
423CaI,422.500,423.000,2.000,-0.023
430FeI,428.000,432.000,2.000,-0.412
438FeI,437.500,439.500,2.000,-0.111
517MgI,515.000,519.000,2.000,-0.054
589NaI,588.000,591.000,2.000,0.058
630O2,627.000,635.000,2.000,0.075
684O2,685.000,697.000,2.000,3.255
720H2Oa,692.000,708.000,1.000,-1.874
720H2Ob,716.000,734.000,2.000,3.718
543CH4,537.000,549.000,2.000,0.159
619CH4,611.000,627.000,2.000,0.825
725CH4,710.500,739.500,3.000,5.353
